name,url
"A Boy A Girl And A Baby Family","http://tvtropes.org/pmwiki/pmwiki.php/Main/ABoyAGirlAndABabyFamily"
"A Boy And His X","http://tvtropes.org/pmwiki/pmwiki.php/Main/ABoyAndHisX"
"Abridged Arena Array","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbridgedArenaArray"
"Abridged For Children","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbridgedForChildren"
"Absence Makes The Heart Go Yonder","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenceMakesTheHeartGoYonder"
"Absence Of Evidence","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenceOfEvidence"
"Absent Aliens","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentAliens"
"Absent Animal Companion","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentAnimalCompanion"
"Absentee Actor","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsenteeActor"
"Absent Minded Professor","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsentMindedProfessor"
"Absolute Cleavage","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteCleavage"
"Absolute Comparative","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteComparative"
"Absolute Xenophobe","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsoluteXenophobe"
"Abstract Apotheosis","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractApotheosis"
"Abstract Eater","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractEater"
"Abstract Scale","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractScale"
"Absurd Altitude","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdAltitude"
"Absurd Cutting Power","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdCuttingPower"
"Absurdism","http://tvtropes.org/pmwiki/pmwiki.php/Main/Absurdism"
"Absurdly Bright Light","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyBrightLight"
"Absurdly Cool City","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyCoolCity"
"Absurdly Dedicated Worker","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyDedicatedWorker"
"Absurdly Divided School","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyDividedSchool"
"Absurdly Elderly Mother","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyElderlyMother"
"Absurdly High Level Cap","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHighLevelCap"
"Absurdly High Stakes Game","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHighStakesGame"
"Absurdly Huge Population","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHugePopulation"
"Absurdly Ineffective Barricade","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyIneffectiveBarricade"
"Absurdly Long Limousine","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongLimousine"
"Absurdly Long Stairway","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongStairway"
"Absurdly Long Wait","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLongWait"
"Absurdly Low Level Cap","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyLowLevelCap"
"Absurdly Powerful School Jurisdiction","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyPowerfulSchoolJurisdiction"
"Absurdly Powerful Student Council","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyPowerfulStudentCouncil"
"Absurdly Sharp Blade","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpBlade"
"Absurdly Sharp Claws","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySharpClaws"
"Absurdly Short Level","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyShortLevel"
"Absurdly Spacious Sewer","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlySpaciousSewer"
"Absurdly Youthful Mother","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyYouthfulMother"
"Absurd Phobia","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdPhobia"
"Ab Urbe Condita","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbUrbeCondita"
"Abuse Mistake","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbuseMistake"
"Abusive Advertising","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveAdvertising"
"Abusive Alien Parents","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveAlienParents"
"Abusive Parents","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveParents"
"Abusive Precursors","http://tvtropes.org/pmwiki/pmwiki.php/Main/AbusivePrecursors"
"Academic Alpha Bitch","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademicAlphaBitch"
"Academic Athlete","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademicAthlete"
"Academy Of Adventure","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademyOfAdventure"
"Academy Of Evil","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcademyOfEvil"
"A Cappella","http://tvtropes.org/pmwiki/pmwiki.php/Main/ACappella"
"A Cat In A Gang Of Dogs","http://tvtropes.org/pmwiki/pmwiki.php/Main/ACatInAGangOfDogs"
"Accent Adaptation","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentAdaptation"
"Accent Depundent","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentDepundent"
"Accent Interest","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentInterest"
"Accent Relapse","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentRelapse"
"Accents Arent Hereditary","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentsArentHereditary"
"Accent Slip Up","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentSlipUp"
"Accentuate The Negative","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccentuateTheNegative"
"Ac CENT Upon The Wrong Syl LA Ble","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcCENTUponTheWrongSylLABle"
"Acceptable Breaks From Canon","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableBreaksFromCanon"
"Acceptable Ethnic Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableEthnicTargets"
"Acceptable Hard Luck Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableHardLuckTargets"
"Acceptable Hobby Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableHobbyTargets"
"Acceptable Political Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptablePoliticalTargets"
"Acceptable Professional Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableProfessionalTargets"
"Acceptable Religious Targets","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableReligiousTargets"
"Accessory Wearing Cartoon Animal","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccessoryWearingCartoonAnimal"
"Accidental Adultery","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAdultery"
"Accidental Aesop","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAesop"
"Accidental Aiming Skills","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAimingSkills"
"Accidental Art","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalArt"
"Accidental Athlete","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAthlete"
"Accidental Bargaining Skills","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalBargainingSkills"
"Accidental Bid","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalBid"
"Accidental Dance Craze","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalDanceCraze"
"Accidental Discovery","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalDiscovery"
"Accidental Hand Hold","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHandHold"
"Accidental Hero","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHero"
"Accidental Hug","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalHug"
"Accidental Innuendo","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalInnuendo"
"Accidental Kidnapping","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalKidnapping"
"Accidental Kiss","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalKiss"
"Accidentally Broke The Mac Guffin","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyBrokeTheMacGuffin"
"Accidentally Correct Writing","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyCorrectWriting"
"Accidentally Correct Zoology","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyCorrectZoology"
"Accidental Marriage","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMarriage"
"Accidental Misnaming","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMisnaming"
"Accidental Murder","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMurder"
"Accidental Nightmare Fuel","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalNightmareFuel"
"Accidental Pervert","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPervert"
"Accidental Pornomancer","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPornomancer"
"Accidental Proposal","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalProposal"
"Accidental Public Confession","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPublicConfession"
"Accidental Pun","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPun"
"Accidental Rhyme","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalRhyme"
"Accidental Tickle Torture","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTickleTorture"
"Accidental Truth","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTruth"
"Accidental Unfortunate Gesture","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalUnfortunateGesture"
"Accidental Ventriloquism","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalVentriloquism"
"Accident Not Murder","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentNotMurder"
"Acclaimed Flop","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcclaimedFlop"
"Accomplice By Inaction","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccompliceByInaction"
"Accordion Man","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccordionMan"
"Accusation Fic","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccusationFic"
"Accuser Of The Brethren","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccuserOfTheBrethren"
"Accuse The Witness","http://tvtropes.org/pmwiki/pmwiki.php/Main/AccuseTheWitness"
"Ace Custom","http://tvtropes.org/pmwiki/pmwiki.php/Main/AceCustom"
"Ace Pilot","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcePilot"
"A Chat With Satan","http://tvtropes.org/pmwiki/pmwiki.php/Main/AChatWithSatan"
"Achey Scars","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcheyScars"
"Achievement Mockery","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementMockery"
"Achievements In Ignorance","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementsInIgnorance"
"Achievement System","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementSystem"
"Achievement Test Of Destiny","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementTestOfDestiny"
"A Child Shall Lead Them","http://tvtropes.org/pmwiki/pmwiki.php/Main/AChildShallLeadThem"
"Achilles Heel","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesHeel"
"Achilles In His Tent","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesInHisTent"
"Achilles Power Cord","http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesPowerCord"
"Acid Attack","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidAttack"
"Acid Pool","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidPool"
"Acid Reflux Nightmare","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidRefluxNightmare"
"Acid Trip Dimension","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidTripDimension"
"Acme Products","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcmeProducts"
"A Commander Is You","http://tvtropes.org/pmwiki/pmwiki.php/Main/ACommanderIsYou"
"Acoustic License","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcousticLicense"
"Acquainted In Real Life","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquaintedInRealLife"
"Acquainted With Emergency Services","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquaintedWithEmergencyServices"
"Acquired Error At The Printer","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredErrorAtThePrinter"
"Acquired Poison Immunity","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredPoisonImmunity"
"Acquired Situational Narcissism","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredSituationalNarcissism"
"Acquitted Too Late","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquittedTooLate"
"A Crack In The Ice","http://tvtropes.org/pmwiki/pmwiki.php/Main/ACrackInTheIce"
"Acrofatic","http://tvtropes.org/pmwiki/pmwiki.php/Main/Acrofatic"
"Acronym And Abbreviation Overload","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymAndAbbreviationOverload"
"Acronym Confusion","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymConfusion"
"Acronym Trope Names","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymTropeNames"
"Acrophobic Bird","http://tvtropes.org/pmwiki/pmwiki.php/Main/AcrophobicBird"
"Act Break","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActBreak"
"Acting For Two","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingForTwo"
"Acting In The Dark","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingInTheDark"
"Acting Out A Daydream","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingOutADaydream"
"Acting Unnatural","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingUnnatural"
"Acting Your Intellectual Age","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingYourIntellectualAge"
"Action Bar","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBar"
"Action Based Mission","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBasedMission"
"Action Bomb","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBomb"
"Action Commands","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionCommands"
"Action Dad","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDad"
"Action Dress Rip","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDressRip"
"Action Duo","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDuo"
"Action Fashionista","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFashionista"
"Action Figure File Card","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFigureFileCard"
"Action Figure Speech","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFigureSpeech"
"Action Film Quiet Drama Scene","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFilmQuietDramaScene"
"Action Genre","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGenre"
"Action Genre Hero Guy","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGenreHeroGuy"
"Action Girl","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGirl"
"Action Girlfriend","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGirlfriend"
"Action Hero","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHero"
"Action Hero Babysitter","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHeroBabysitter"
"Action Hogging Opening","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHoggingOpening"
"Action Initiative","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionInitiative"
"Action Insurance Gag","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionInsuranceGag"
"Actionized Adaptation","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionizedAdaptation"
"Actionized Sequel","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionizedSequel"
"Action Mom","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionMom"
"Action Pet","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPet"
"Action Politician","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPolitician"
"Action Prologue","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPrologue"
"Action Survivor","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionSurvivor"
"Activation Sequence","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActivationSequence"
"Activist Fundamentalist Antics","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActivistFundamentalistAntics"
"Act Of True Love","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActOfTrueLove"
"Actor Existence Limbo","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorExistenceLimbo"
"Actor Inspired Element","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorInspiredElement"
"Actor IS The Title Character","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorISTheTitleCharacter"
"Actor Role Confusion","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorRoleConfusion"
"Actor Shared Background","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorSharedBackground"
"Actor Shipping","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorShipping"
"Actor Swap","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActorSwap"
"Actually A Doombot","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyADoombot"
"Actually A Good Idea","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyAGoodIdea"
"Actually Four Mooks","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyFourMooks"
"Actually I Am Him","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyIAmHim"
"Actually Not A Vampire","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyNotAVampire"
"Actually Pretty Funny","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyPrettyFunny"
"Actually Thats My Assistant","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyThatsMyAssistant"
"Actual Pacifist","http://tvtropes.org/pmwiki/pmwiki.php/Main/ActualPacifist"
"A Cup Angst","http://tvtropes.org/pmwiki/pmwiki.php/Main/ACupAngst"
"Adam And Eve Plot","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdamAndEvePlot"
"Adam And Or Eve","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdamAndOrEve"
"Adam Smith Hates Your Guts","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdamSmithHatesYourGuts"
"Adam Westing","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdamWesting"
"Adaptational Abomination","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAbomination"
"Adaptational Alternate Ending","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAlternateEnding"
"Adaptational Angst Upgrade","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAngstUpgrade"
"Adaptational Attractiveness","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAttractiveness"
"Adaptational Backstory Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalBackstoryChange"
"Adaptational Badass","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalBadass"
"Adaptational Comic Relief","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalComicRelief"
"Adaptational Consent","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalConsent"
"Adaptational Context Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalContextChange"
"Adaptational Curves","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalCurves"
"Adaptational Diversity","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalDiversity"
"Adaptational Dumbass","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalDumbass"
"Adaptational Early Appearance","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalEarlyAppearance"
"Adaptational Explanation","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalExplanation"
"Adaptational Heroism","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalHeroism"
"Adaptational Intelligence","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalIntelligence"
"Adaptational Jerkass","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalJerkass"
"Adaptational Job Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalJobChange"
"Adaptational Karma","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalKarma"
"Adaptational Late Appearance","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalLateAppearance"
"Adaptational Modesty","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalModesty"
"Adaptational Mundanity","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalMundanity"
"Adaptational Nationality","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalNationality"
"Adaptational Nice Guy","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalNiceGuy"
"Adaptational Nonsapience","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalNonsapience"
"Adaptational Self Defense","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSelfDefense"
"Adaptational Sexuality","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSexuality"
"Adaptational Skimpiness","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSkimpiness"
"Adaptational Superpower Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSuperpowerChange"
"Adaptational Ugliness","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalUgliness"
"Adaptational Villainy","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalVillainy"
"Adaptational Wealth","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalWealth"
"Adaptational Wimp","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalWimp"
"Adaptation Amalgamation","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationAmalgamation"
"Adaptation Decay","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDecay"
"Adaptation Deviation","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDeviation"
"Adaptation Displacement","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDisplacement"
"Adaptation Distillation","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDistillation"
"Adaptation Dye Job","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDyeJob"
"Adaptation Expansion","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationExpansion"
"Adaptation Explanation Extrication","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationExplanationExtrication"
"Adaptation First","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationFirst"
"Adaptation Induced Plot Hole","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationInducedPlotHole"
"Adaptation Inspiration","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationInspiration"
"Adaptation Name Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationNameChange"
"Adaptation Origin Connection","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationOriginConnection"
"Adaptation Overdosed","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationOverdosed"
"Adaptation Personality Change","http://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationPersonalityChange"
